kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_sma,koi_model_snr,koi_num_transits,koi_max_mult_ev,koi_max_sngle_ev,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smass,koi_count,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
K06745.01,CANDIDATE,383.85362,9.76,422.9,2.78,1.1395,7.5,4,7.107598,6.9980717,314,2.29,6675,4.341,1.293,1.336,1,0,0,0,0
K06746.01,CANDIDATE,2.564012541,0.9433,2551.9,7.27,0.037,5.3,69,20.580484,6.221694,1720,2065.56,6274,4.139,1.428,1.024,1,0,0,0,0
K06747.01,FALSE POSITIVE,0.71538172,5,,,,,1896,9.891173,3.4746683,,7377.38,,,,,1,1,0,0,0
K06748.01,FALSE POSITIVE,2.264471713,7.1803,187430,102.12,0.0354,873.7,595,5937.5747,560.42004,2103,4637.68,6782,4.014,1.752,1.155,1,0,1,0,0
K06749.01,FALSE POSITIVE,18.3602239,2.352,574.6,2.04,0.134,12.4,60,9.83044,5.8795433,637,38.9,5713,4.551,0.856,0.948,1,0,1,1,0
K06750.01,CANDIDATE,5.21395046,3.188,78.5,1.24,0.0582,8.6,256,8.140921,3.3737378,1201,492.29,5529,4.123,1.412,0.965,1,0,0,0,0
K06751.01,CANDIDATE,24.996068,5.623,621.7,2.4,0.1693,9.4,9,8.62445,5.24733,604,31.43,5761,4.492,0.956,1.035,2,0,0,0,0
K06752.01,CANDIDATE,8.9429645,1.803,233.5,0.89,0.0704,7.2,117,7.133717,3.1738057,536,19.51,4183,4.655,0.594,0.582,1,0,0,0,0
K06877.01,FALSE POSITIVE,281.509095,40.963,5948.7,85.77,1.0218,182.5,5,23.622097,15.916768,685,52.05,4797,2.632,10.709,1.791,1,0,1,0,0
K06878.01,CANDIDATE,2.405625303,0.6283,163.5,1.11,0.0344,12,0,8.087268,3.2466037,1180,459.66,5450,4.573,0.83,0.939,1,0,0,0,0
K06879.01,FALSE POSITIVE,3.258249472,2.6358,1643.5,79.23,0.0489,202,408,352.9586,34.30116,2057,4234.38,6712,3.859,2.361,1.467,1,0,1,0,0
K06880.01,FALSE POSITIVE,552.8295063,16.0851,266298,56.89,1.2226,942.6,0,2533.9915,2085.8032,229,0.65,5956,4.403,0.929,0.797,1,1,0,0,0
K06881.01,FALSE POSITIVE,0.773595312,0.781,93,0.96,0.0166,13.2,1726,10.060088,4.8911314,1976,3613.97,5973,4.506,0.935,1.024,1,0,0,1,1
K06882.01,CANDIDATE,0.7735301,1.335,185.4,1.87,0.017,14.2,231,10.901756,4.843506,2474,8868.22,6296,4.217,1.35,1.093,1,0,0,0,0
K06883.01,FALSE POSITIVE,533.6593,12.81,533.5,1.92,1.2547,7.8,3,7.731715,6.3090634,205,0.42,5695,4.556,0.839,0.923,1,1,0,0,0
K06884.01,CANDIDATE,2.42186898,6.22,,,,,562,8.2015295,4.918115,,,,,,,1,0,0,0,0
K06885.01,FALSE POSITIVE,44.82732381,6.86103,237120,429,0.2797,4484.5,28,19899.49,10599.097,779,87.2,5160,3.568,3.279,1.45,1,0,1,0,0
K07008.01,FALSE POSITIVE,7.535894184,8.3059,172126,24.64,0.0625,1446.7,175,5985.5723,751.8592,642,40.28,4969,4.736,0.537,0.574,1,0,1,0,0
K07009.01,FALSE POSITIVE,0.562498925,0.6743,420.1,2.88,0.0127,44.1,2377,16.333935,4.3028603,2129,4880.5,5638,4.437,0.933,0.868,1,1,0,0,0
